,id,cod_reunion,online_users,legislative_body_initials,youtube_status,max_online_users,created,modified,is_visible,reunion_type,title_reunion,reunion_object,reunion_theme,date,legislative_body,location,questions_count,answered_questions_count,messages_count,votes_count,participants_count,videos,youtube_id
0,200,47229,0,CIDOSO,0,1,2017-05-03T20:29:03.350424-03:00,2021-05-18T10:22:35.686823-03:00,True,Audiência Pública,Audiência Pública Conjunta das Comissões CIDOSO e CSSF,"Tema: Debater sobre o Mal de Alzheimer

Convidados:

- Representante do Ministério da Saúde (a confirmar)

- Representante do Ministério dos Direitos Humanos (a confirmar)

- Representante da Associação Brasileira de Alzheimer (a confirmar)

- Representante da Academia Brasileira de Neurologia (a confirmar)

Origem: Requerimento Nº 33/2017, da Deputada Leandre(Cidoso).
                 Requerimento Nº 464/2017, da Deputada Leandre (CSSF).

",DEBATER SOBRE O MAL DE ALZHEIMER,2017-05-10T15:30:00-03:00,Comissão de Defesa dos Direitos da Pessoa Idosa,"Anexo II, Plenário 16",0,0,0,0,0,[],
1,1550,59684,0,CEXCORVI,2,31,2020-06-17T15:56:02.833327-03:00,2022-12-19T10:57:35.255931-03:00,True,Reunião Técnica,COMISSÃO EXTERNA DE AÇÕES CONTRA O CORONAVÍRUS,"Reunião Técnica por videoconferência

Tema: A Situação dos Pacientes Renais e das Clínicas de Hemodiálise diante da Pandemia por Covid-19

Convidados:

- Dr. MARCOS ALEXANDRE VIEIRA, Presidente da Associação Brasileira dos Centros de Diálise e Transplante - ABCDT;


- Dr. DANIEL CALAZANS, Vice-Presidente da Sociedade Brasileira de Nefrologia - SBN;


- Sr. HUMBERTO FLORIANO MENDES, Diretor de Comunicação da Federação Nacional das Associações de Pacientes Renais e Transplantados do Brasil  - FENAPAR;


- Sr. RODRIGO LACERDA, Assessor Técnico do CONASEMS; 


- Sr. LEONARDO VILELA, Consultor Técnico da CONASS;

- Sr. MARCIO IRITA HARO, Diretor Substituto do Departamento de Atenção Especializada e Temática - DAET/SAES/MS; e


- Sra. FLÁVIA AMARAL FREITAS, Consultora Técnica da Coordenação Geral de Atenção Especializada - CGAE/DAET/SAES/MS.
",Os Pacientes Renais e as Clínicas de Hemodiálise na Pandemia,2020-06-18T14:27:04-03:00,Comissão Externa destinada a acompanhar ações preventivas da vigilância sanitária e possíveis consequências para o Brasil quanto ao enfrentamento da pandemia causada pelo coronavírus,"Anexo II, Plenário 03",7,0,17,17,13,"[{'id': 1265, 'video_id': 'qVtLgXF71lw', 'title': None, 'is_attachment': False, 'order': 0}, {'id': 1262, 'video_id': 'DX1gD-DQoKM', 'title': 'Saiba mais', 'is_attachment': True, 'order': 0}]",qVtLgXF71lw
2,213,47325,0,CLP,0,3,2017-05-10T21:22:03.347218-03:00,2022-08-13T08:21:18.920438-03:00,False,Outro Evento,Outro Evento - Conjunto das Comissões CDHM e CLP,"Exibição do documentário ""Entre os Homens de Bem"", seguido de debate sobre os Direitos da População LGBT no Brasil, com enfoque para o andamento dessa pauta no Congresso Nacional.

Debatedores:

- Deputado Federal Jean Wyllys;
- Marcia Tiburi -  Filósofa e articulista;
- Carlos Juliano Barros - Diretor do documentário  ""Entre os Homens de Bem""; e
- Caio Cavechini - Diretor do documentário  ""Entre os Homens de Bem"".

Origem: Req. 114/17, do Sr. Glauber Braga (PSOL/RJ)



",,2017-05-17T19:00:00-03:00,Comissão de Legislação Participativa,"Anexo II, Plenário 02",0,0,0,0,0,[],
3,248,47802,0,CMADS,0,1,2017-06-06T19:27:03.138231-03:00,2019-03-01T00:16:17.382452-03:00,False,Seminário,MEIO AMBIENTE E DESENVOLVIMENTO SUSTENTÁVEL,"AS UNIDADES DE CONSERVAÇÃO NO BRASIL: SITUAÇÃO ATUAL E OPORTUNIDADES

Requerimento nº 184/2017 - do Deputado Nilto Tatto (PT/SP)

EXPOSITORES:

ABERTURA
-- Deputado Federal Rodrigo Maia, Presidente da Câmara dos Deputados
-- Ministro José Sarney Filho, Ministro do Meio Ambiente (**)
-- Paulo Henrique Marostegan e Carneiro, Diretor de Criação e Manejo de Unidades de Conservação do Instituto Chico Mendes de Conservação da Biodiversidade (*)
-- Ministro Antonio Herman de Vasconcellos e Benjamin, Superior Tribunal de Justiça (STJ) (**)
-- Deputado Federal Nilto Tatto, Presidente da Comissão de Meio Ambiente e Desenvolvimento Sustentável da Câmara dos Deputados
-- Pedro Luiz Passos, Presidente da Fundação SOS Mata Atlântica (**)

AS UNIDADES DE CONSERVAÇÃO NO BRASIL
-- Representante do Programa BIOTA-FAPESP - A importância das Unidades de Conservação em um país megadiverso como o Brasil (**)
-- Moara Giasson - Assessora da Secretaria de Biodiversidade e Florestas do Ministério do Meio Ambiente - Quadro geral das Unidades de Conservação Federais no Brasil (*)
-- Clóvis Ricardo S. Borges, Conselheiro da Rede Pró Unidades de Conservação (*)

AS UNIDADES DE CONSERVAÇÃO E A AMAZÔNIA
-- Rosa Lemos de Sá - Fundo Brasileiro para a Biodiversidade (Funbio) - Principais resultados e perspectivas do Programa Arpa - Áreas Protegidas da Amazônia (**)
-- Manoel Serrão Sampaio, Superintendente de Programas de Meio Ambiente do Fundo Brasileiro para a Biodiversidade (Funbio) (*)
-- João Paulo R. Capobianco, Presidente do Instituto Democracia e Sustentabilidade (IDS) - A contribuição das Unidades de Conservação no Plano de Prevenção e Controle do Desmatamento na Amazônia PPCDAm (*)
-- Heron Martins - Instituto do Homem e do Meio Ambiente da Amazônia (Imazon) - As situação do desmatamento em Unidades de Conservação na Amazônia Legal (*)
-- Georgiane Titan - Analista de Negócios Representante do SEBRAE do Estado do Pará - A Produção de cosméticos com matérias primas oriundas da Biodiversidade Amazônica (**)

O DESAFIO DA IMPLEMENTAÇÃO DAS UNIDADES DE CONSERVAÇÃO NO BRASIL
-- Angela Kuczach, Diretora Executiva da Rede Nacional Pró-unidades de Conservação - Cenários, desafios e oportunidades em nível nacional e internacional de Unidades de Conservação (*)
-- Ricardo Soavinski - Presidente do Instituto Chico Mendes de Conservação da Biodiversidade - ICMBio - Perspectivas para a implementação das Unidades de Conservação Federais nos biomas brasileiros. (**)
-- Fernando Pieroni -  Instituto Semeia - O potencial das unidades de conservação na dinamização da economia local (*)
-- Erika Guimarães - Fundação SOS Mata Atlântica - Programa de Incentivo às RPPNs da Mata Atlântica  (*)
-- Dailey Fischer - Instituto Mater Natura - A experiência inovadora da Rede Gestora Corredor das Araucárias (REGE) (*)
-- Benedito Alves da Silva (Ditão) - Circuito Quilombola do Vale do Ribeira - A Contribuição das populações tradicionais na implementação das Unidades de Conservação (*)
-- Prof. Dr. André Cunha - Centro de Excelência em Turismo da UNB, Centro UNB Cerrado e Departamento de Ecologia - Perspectiva do ecoturismo nas Unidades de Conservação da Natureza  (**)


LEGENDA:

Confirmado ( * )
Não virá ( ** )
Não Confirmado (   )",,2017-06-07T14:00:00-03:00,Comissão de Meio Ambiente e Desenvolvimento Sustentável,"Anexo II, Plenário 02",0,0,0,0,0,[],
4,1293,57865,0,PL230315,2,46,2019-10-02T16:41:01.915796-03:00,2022-12-18T09:41:40.444428-03:00,True,Reunião Deliberativa,PL 2303/15 - BANCO CENTRAL REGULAR MOEDAS VIRTUAIS,"I - Audiência Pública com a presença dos seguintes convidados (a confirmar) - Reqs. 5, 9, 16 e 19/19:

- Carlos Bruno Ferreira da Silva, Procurador da República, representando o MPF (confirmado);
- Fernando Ulrich, Analista-Chefe da XDEX;
- Frederico Skora Lieberenz, Delegado da Polícia Federal (confirmado);
- Leandro Vilain, Diretor de Políticas de Negócios e Operações da Federação Brasileira de Bancos - FEBRABAN (confirmado);
- Nancy Andrighi, Ministra do STJ;
- Safiri Felix, Diretor-Presidente da ABCripto (confirmado);
- Tatiana Revoredo, Especialista em Blockchain (confirmada); e
- Representante do Grupo Bitcoin Banco.

II - Eleição para os cargos de 2º e 3º Vice-Presidentes;

III - Deliberação de Requerimentos entregues à Secretaria-Executiva da Comissão até as 18h da véspera da reunião.",,2019-10-09T15:25:08-03:00,"Comissão Especial destinada a proferir parecer ao Projeto de Lei nº 2303, de 2015, do Sr. Aureo, que ""dispõe sobre a inclusão das moedas virtuais e programas de milhagem aéreas na definição de 'arranjos de pagamento' sob a supervisão do Banco Central"" (altera a Lei nº 12.865, de 2013 e da Lei 9.613, de 1998)","Anexo II, Plenário 11",7,0,19,16,8,"[{'id': 956, 'video_id': '8ZS_R33bgOA', 'title': None, 'is_attachment': False, 'order': 0}]",8ZS_R33bgOA
5,4,,0,,2,1,2017-03-30T16:30:01.874287-03:00,2022-11-23T18:27:25.032752-03:00,False,,Conferência da Rede de Mulheres Parlamentares dos Países de Língua Portuguesa.,,,2017-03-30T12:00:00-03:00,,,0,0,0,0,0,"[{'id': 2, 'video_id': 'kvl2S8ba638', 'title': None, 'is_attachment': False, 'order': 0}]",kvl2S8ba638
6,1251,57666,0,CESPO,2,36,2019-09-23T16:11:03.097413-03:00,2022-12-19T05:23:11.487632-03:00,True,Mesa Redonda,ESPORTE,"Req. 65 e 66, de iniciativa, respectivamente, dos Deputados Fábio Mitidieri e Hugo Leal

CONVIDADOS

Confirmados:

MARCELO FEIJÓ DE MEDEIROS - Presidente do  Sport Club Internacional

RAFAEL TENÓRIO - Presidente Executivo CSA

HUGO NOGUEIRA LEAHY - Diretor Administrativo do CSA

VINICIUS GUITTI MORAES - Presidente do Ituano Futebol Clube

RICARDO GIODANI  - Diretor do Clube do Ituano Futebol Clube

FERNANDO ANTÔNIO BRANDÃO SUASSUNA - Presidente do ABC Futebol Clube/RN

LUIZ RODOLFO LANDIM MACHADO - Presidente  do Clube de Regatas do Flamengo

REINALDO BELOTTI - Ceo do Clube de Regatas do Flamengo

WEBER DE AZEVEDO MAGALHÃES - Presidente da Sociedade Esportiva do Gama

PEDRO FREITAS TEIXEIRA -Advogado Especialista em Recuperação Judicial, Extrajudicial e Falência

RONALDO LIMA - Secretário Nacional de Futebol e Defesa dos Direitos do Torcedor

LUIZ HENRIQUE MARTINS RIBEIRO - Presidente do Clube Atlético Tubarão

RODRIGO GAMA MONTEIRO - Diretor do Núcleo de Mercado do Futebol e Parcerias do Athlético Paranaense

RUBENS LOPES DA COSTA FILHO - Presidente da Federação de Futebol do Estado do Rio de Janeiro

ANDRÉS SANCHEZ - Presidente do Sport Club Corinthians Paulista

PAULO ROBERTO DE SOUSA CARNEIRO - Presidente do Esporte Clube Vitória

LEONARDO BARROS C. DE ARAÚJO - Advogado Esportivo

RAFAEL TENÓRIO - Presidente do Centro Sportivo Alagoano -CSA

CAROLINE BALBINO - Diretora Jurídica do Centro Sportivo Alagoano -CSA

MARCOS AURÉLIO EGÍDIO DA SILVA - Advogado representante do Atlético Clube Goianense

MARCO ANTONIO NASSIF ABI CHEDID - Presidente do Clube Atlético Bragantino

PEDRO PAULO Carvalho Teixeira  - Deputado

LUIZ FELIPE GUIMARÃES SANTORO - Diretor Jurídico da Confederação Brasileira de Futebol

ANDRÉ RICARDO TORQUATO GOMES - Vice-Presidente do Conselho Deliberativo do Guarani Futebol Clube

FELIPE AUGUSTO LEITE - Presidente da Federação Nacional de Atletas Profissionais de Futebol 

JÚLIO CÉSAR CARNEIRO - Coordenador-geral de Economia do Ministério da Economia

JOÃO VICENTE MORAIS - Goiás Esporte Clube",Estruturas Societárias dos Clubes de Futebol,2019-10-09T14:50:00-03:00,Comissão do Esporte,"Anexo II, Plenário 04",9,0,18,17,11,"[{'id': 954, 'video_id': 'eExvDSFjusU', 'title': None, 'is_attachment': False, 'order': 0}]",eExvDSFjusU
7,1371,58199,0,PL039915,2,18,2019-10-30T13:56:01.771798-03:00,2022-12-18T23:27:29.756543-03:00,True,Reunião Deliberativa,PL 0399/15 - MEDICAMENTOS FORMULADOS COM CANNABIS,"I - Audiência Publica:

Convidados:

Salomão Rodrigues - Psiquiatra e Conselheiro do Conselho Federal de Medicina - (REQ 1 - Alex Manente e Marcelo Calero, REQ 2 - Diego Garcia e REQ e 23 - Darcísio Perondi) - confirmado

Ricardo Ferreira - Especialista em cirurgia da coluna e clínica da dor. Consultor Técnico da Abracannabis, Cultive e Abrace-Esperança - (REQ 14 - Eduardo Costa e REQ 19 - Luciano Ducci) - confirmado

Eliane Guerra - Especialista em Psiquiatria,  Doutora em Ciências pela Faculdade de Medicina da Universidade de São Paulo - FMUSP. Especialista em Dependência Química-UNIAD/Universidade Federal de São Paulo (REQ 8 - Natália Bonavides e  REQ 27 - Paulo Teixeira) - confirmada

Carolina Nocetti - Médica brasileira com experiência internacional sobre cannabis medicinal (REQ 20 - Marcelo Calero e REQ 27 - Paulo Teixeira) - confirmada


II - Deliberação de Requerimentos (recebidos até às 18h do dia anterior à reunião)",,2019-11-05T13:34:05-03:00,"Comissão Especial destinada a proferir parecer ao Projeto de Lei nº 399, de 2015, do Sr. Fábio Mitidieri, que ""altera o art. 2º da Lei nº 11.343, de 23 de agosto de 2006, para viabilizar a comercialização de medicamentos que contenham extratos, substratos ou partes da planta Cannabis sativa em sua formulação""","Anexo II, Plenário 05",0,0,2,0,2,"[{'id': 1036, 'video_id': 'ZaYOAW3HreQ', 'title': None, 'is_attachment': False, 'order': 0}]",ZaYOAW3HreQ
8,1684,60080,0,SEMULHER,2,8,2020-11-18T11:49:03.242655-03:00,2022-12-18T20:49:40.419805-03:00,True,Painel,SECRETARIA DA MULHER,,Premiação Concurso Lei Maria da Penha Encerramento 21 Dias de Ativismo,2020-12-10T14:13:17-03:00,Secretaria da Mulher,"Anexo II, Plenário 03",0,0,3,0,2,"[{'id': 1599, 'video_id': 'G4ewXzoLIRU', 'title': None, 'is_attachment': False, 'order': 0}, {'id': 1529, 'video_id': 'DX1gD-DQoKM', 'title': 'Saiba mais', 'is_attachment': True, 'order': 0}]",G4ewXzoLIRU
9,175,46768,0,CDC,2,6,2017-04-12T17:52:02.825587-03:00,2022-12-18T01:31:00.527182-03:00,True,Audiência Pública,DEFESA DO CONSUMIDOR,"Discutir a Resolução 400 da Anac, de 13/12/16, que permite a venda de franquia de bagagem de forma separada da passagem aérea.

Requerimento nº 130/2017, dos deputados Rodrigo Martins, Severino Ninho, Chico Lopes e Welinton Prado

Requerimento nº 129/2016, dos deputados Celso Russomano, Bruno Covas, Chico Lopes, Eli Corrêa Filho, João Fernando Coutinho, José Carlos Araújo, Marcos Rotta, Ricardo Izar, Sérgio Brito e Weliton Prado

CONVIDADOS

José Ricardo Pataro Botelho de Queiroz (CONFIRMADO)
Diretor-Presidente da Agência nacional de Aviação Civil - Anac 

Luiz Fernando Gaspar Costa (CONFIRMADO)
Procurador da República no Estado São Paulo
Representante da 3ª CCR/MPF (Consumidor e Ordem Econômica)

Arthur Luis Mendonça Rollo (CONFIRMADO)
Secretário da Secretaria Nacional do Consumidor do Ministério da Justiça

Eduardo Sanovicz (CONFIRMADO)
Presidente da Associação Brasileira de Empresas Aéreas - Abear

Ricardo Franco Botelho (CONFIRMADO)
Representante do Comitê de Regulaçao do Instituto Brasileiro de Estudos de Concorrência, Consumo e Comércio Internacional - IBRAC",,2017-04-18T14:30:00-03:00,Comissão de Defesa do Consumidor,"Anexo II, Plenário 06",2,0,4,2,2,"[{'id': 32, 'video_id': 'mGTWIjJKTbc', 'title': None, 'is_attachment': False, 'order': 0}]",mGTWIjJKTbc
